"ID","ReleaseDate","Grade","Edition","Name","OfficialJPY","TaxExJPY","OfficialKRW","AppliedMultiplier","DiscrepancyCheck"
"600","2012-02-18","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 DUEL GUNDAM ASSAULTSHROUD","5060","4600","65780","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"601","2012-09-22","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 BUSTER GUNDAM","4400","4000","57200","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"602","2012-06-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 BLITZ GUNDAM","4400","4000","57200","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"603","2012-05-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RMS-108 MARASAI","4400","4000","57200","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"604","2012-12-15","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 NEW GUNDAM Ver. Ka","8140","7400","105820","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"605","2012-11-17","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-2 DARK HOUND","5060","4600","65780","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"606","2013-02-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 MSN-06S SINANJU STEIN Ver. Ka","7700","7000","100100","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"607","2013-03-23","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 ReZEL TYPE-C (DEFENSER a+b UNIT/GENERAL REVIL)","7700","7000","100100","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"608","2013-10-26","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 WING GUNDAM PROTO-ZERO EW","5280","4800","68640","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"609","2013-04-20","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 JESTA","4400","4000","57200","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"61","2017-09-30","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 GUNDAM LIGHTNING BLACK WARRIOR","1980","1800","25740","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
